anio_inicio,mes_inicio,fecha_inicio,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_catalogo,alcaldia_hecho,anio_hecho
2024,Agosto,2024-08-31 00:00:00,1975-01-30 00:00:00,06:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,UAT-AO-4,UI-1SD,San Angel,ALVARO OBREGON,1975
2023,Enero,2023-01-20 00:00:00,1995-10-01 00:00:00,16:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN Y PERSECUCIÓN DE LOS DELITOS EN MATERIA DE DESAPARICIÓN FORZADA DE PERSONAS Y LA DESAPARICIÓN COMETIDA POR PARTICULARES Y BÚSQUEDA DE PERSONAS DESAPARECIDAS,B,2 SIN DETENIDO,Bosque De Chapultepec I Seccion,MIGUEL HIDALGO,1995
2022,Abril,2022-04-11 00:00:00,1997-07-21 00:00:00,08:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN MIGUEL HIDALGO,UAT-MH-1,UI-1SD,Santo Tomas,MIGUEL HIDALGO,1997
2017,Marzo,2017-03-10 00:00:00,2001-03-10 00:00:00,06:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,E,2 CON DETENIDO 2 C/D,Constitucion De La Republica,IZTAPALAPA,2001
2021,Marzo,2021-03-15 00:00:00,2001-03-15 00:00:00,21:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,1 CON DETENIDO 1 C/D,Las Cruces,IZTAPALAPA,2001
2017,Agosto,2017-08-09 00:00:00,2004-12-14 00:00:00,00:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,E,3 CON DETENIDO 3 C/D,Guerrero,IZTAPALAPA,2004
2023,Marzo,2023-03-19 00:00:00,2005-04-02 00:00:00,10:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,3 CON DETENIDO 3 C/D,Del Valle Sur,IZTAPALAPA,2005
2017,Agosto,2017-08-06 00:00:00,2005-12-28 00:00:00,12:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,E,3 CON DETENIDO 3 C/D,,IZTAPALAPA,2005
2017,Marzo,2017-03-05 00:00:00,2007-03-03 00:00:00,16:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,"INVESTIGACIÓN PARA LA ATENCIÓN DE NIÑOS, NIÑAS Y ADOLESCENTES",59,UI-3CD,Heroes De Churubusco,IZTAPALAPA,2007
2016,Junio,2016-06-21 00:00:00,2009-11-06 00:00:00,08:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-3CD,Magdalena De Las Salinas,GUSTAVO A. MADERO,2009
2023,Enero,2023-01-07 00:00:00,2010-12-01 00:00:00,01:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,1 CON DETENIDO 1 C/D,Pueblo San Pedro Xalpa,IZTAPALAPA,2010
2019,Diciembre,2019-12-11 00:00:00,2010-12-10 00:00:00,18:15:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN MIGUEL HIDALGO,MH-4,UI-2SD,San Miguel Chapultepec I Seccion,MIGUEL HIDALGO,2010
2022,Abril,2022-04-21 00:00:00,2011-06-01 00:00:00,12:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,1 CON DETENIDO 1 C/D,,IZTAPALAPA,2011
2022,Noviembre,2022-11-30 00:00:00,2011-11-23 00:00:00,12:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,CUH-5,UI-2SD,Tabacalera,CUAUHTEMOC,2011
2019,Febrero,2019-02-25 00:00:00,2011-12-29 00:00:00,12:00:00,DESAPARICION FORZADA DE PERSONAS,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE HOMICIDIO,HOM-2,1 CON DETENIDO 1 C/D,,AZCAPOTZALCO,2011
2024,Enero,2024-01-31 00:00:00,2012-04-09 00:00:00,22:00:00,DESAPARICION FORZADA DE PERSONAS,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN Y PERSECUCIÓN DE LOS DELITOS EN MATERIA DE DESAPARICIÓN FORZADA DE PERSONAS Y LA DESAPARICIÓN COMETIDA POR PARTICULARES Y BÚSQUEDA DE PERSONAS DESAPARECIDAS,B,5 SIN DETENIDO,Morelos,VENUSTIANO CARRANZA,2012
2016,Agosto,2016-08-31 00:00:00,2012-09-11 00:00:00,00:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-5,UI-2SD,,CUAUHTEMOC,2012
2016,Febrero,2016-02-16 00:00:00,2013-05-23 00:00:00,21:53:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-2CD,Peñon De Los Baños,VENUSTIANO CARRANZA,2013
2016,Marzo,2016-03-13 00:00:00,2013-07-02 00:00:00,07:55:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-3CD,Algarin,CUAUHTEMOC,2013
2016,Enero,2016-01-17 00:00:00,2013-07-30 00:00:00,12:00:00,DESAPARICION FORZADA DE PERSONAS,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-8,UI-1SD,,CUAUHTEMOC,2013
2016,Agosto,2016-08-14 00:00:00,2013-08-13 00:00:00,02:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,E,1 CON DETENIDO 1 C/D,Barrio La Asuncion,IZTAPALAPA,2013
2017,Julio,2017-07-20 00:00:00,2013-08-30 00:00:00,08:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN VENUSTIANO CARRANZA,VC-3,UI-1SD,Pueblo San Miguel Topilejo,TLALPAN,2013
2018,Febrero,2018-02-23 00:00:00,2013-09-16 00:00:00,17:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN DE LOS DELITOS COMETIDOS POR SERVIDORES PUBLICOS,B,UI-1CD,Zona Escolar Oriente,GUSTAVO A. MADERO,2013
2021,Mayo,2021-05-12 00:00:00,2013-09-19 00:00:00,10:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,2 CON DETENIDO 2 C/D,Centro,IZTAPALAPA,2013
2024,Agosto,2024-08-20 00:00:00,2013-12-19 00:00:00,21:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,1 CON DETENIDO 1 C/D,Juarez,IZTAPALAPA,2013
2016,Septiembre,2016-09-18 00:00:00,2014-06-30 00:00:00,12:00:00,DESAPARICION FORZADA DE PERSONAS,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-8,UI-3SD,Doctores,CUAUHTEMOC,2014
2016,Febrero,2016-02-08 00:00:00,2014-10-30 00:00:00,10:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN IZTAPALAPA,IZP-6,UI-2SD,Santa Martha Acatitla Norte,IZTAPALAPA,2014
2024,Noviembre,2024-11-30 21:48:23,2014-11-29 18:30:00,18:30:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,1 CON DETENIDO 1 C/D,Rancho Tejomulco,IZTAPALAPA,2014
2017,Diciembre,2017-12-04 00:00:00,2014-12-09 00:00:00,16:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN DE LOS DELITOS COMETIDOS POR SERVIDORES PUBLICOS,B,UI-1CD,,IZTAPALAPA,2014
2020,Octubre,2020-10-14 00:00:00,2014-12-13 00:00:00,10:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,2 CON DETENIDO 2 C/D,Peñon De Los Baños,IZTAPALAPA,2014
2019,Julio,2019-07-09 00:00:00,2014-12-15 00:00:00,09:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,E,1 CON DETENIDO 1 C/D,Ex-Ejido De San Francisco Culhuacan,IZTAPALAPA,2014
2016,Enero,2016-01-09 00:00:00,2015-01-09 00:00:00,11:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN TLALPAN,TLP-4,UI-2CD,Pueblo San Andres Totoltepec,TLALPAN,2015
2016,Abril,2016-04-08 00:00:00,2015-01-14 00:00:00,17:24:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-3CD,Ampliacion Sinatel,IZTAPALAPA,2015
2022,Enero,2022-01-05 00:00:00,2015-02-11 00:00:00,12:00:00,SECUESTRO EXPRESS (PARA COMETER ROBO O EXTORSIÓN),DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,3 CON DETENIDO 3 C/D,Narvarte Oriente,IZTAPALAPA,2015
2022,Febrero,2022-02-13 00:00:00,2015-02-11 00:00:00,12:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,3 CON DETENIDO 3 C/D,Santa Cruz Atoyac,IZTAPALAPA,2015
2016,Febrero,2016-02-16 00:00:00,2015-02-16 00:00:00,05:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-1CD,El Coyol,GUSTAVO A. MADERO,2015
2018,Abril,2018-04-07 00:00:00,2015-04-06 00:00:00,06:15:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,E,2 CON DETENIDO 2 C/D,Sindicato Mexicano De Electricistas,IZTAPALAPA,2015
2022,Octubre,2022-10-15 00:00:00,2015-05-03 00:00:00,12:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN COYOACÁN,COY-3,UI-1SD,Educacion,COYOACAN,2015
2016,Mayo,2016-05-06 00:00:00,2015-05-05 00:00:00,23:00:00,PLAGIO O SECUESTRO,SECUESTRO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-1CD,San Pedro De Los Pinos,BENITO JUAREZ,2015
2016,Marzo,2016-03-15 00:00:00,2015-06-10 00:00:00,14:40:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-2CD,Tres Estrellas,GUSTAVO A. MADERO,2015
2016,Septiembre,2016-09-05 00:00:00,2015-07-07 00:00:00,09:15:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN BENITO JUÁREZ,BJ-3,UI-2SD,Piedad Narvarte,BENITO JUAREZ,2015
2016,Enero,2016-01-27 00:00:00,2015-07-14 00:00:00,16:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN MIGUEL HIDALGO,MH-2,UI-2CD,Granada,MIGUEL HIDALGO,2015
2016,Marzo,2016-03-31 00:00:00,2015-07-22 00:00:00,16:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-3CD,Vallejo,GUSTAVO A. MADERO,2015
2017,Julio,2017-07-04 00:00:00,2015-08-31 00:00:00,20:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN DE LOS DELITOS COMETIDOS POR SERVIDORES PUBLICOS,B,UI-1CD,Villa Gustavo A Madero,GUSTAVO A. MADERO,2015
2016,Febrero,2016-02-11 00:00:00,2015-09-01 00:00:00,11:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,C,Unidad 14,Centro,CUAUHTEMOC,2015
2016,Mayo,2016-05-24 00:00:00,2015-09-08 00:00:00,12:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE ASUNTOS ESPECIALES Y ELECTORALES,D,UI-3CD,Doctores,CUAUHTEMOC,2015
2016,Octubre,2016-10-28 00:00:00,2015-09-09 00:00:00,13:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,E,3 CON DETENIDO 3 C/D,Campestre Churubusco,IZTAPALAPA,2015
2022,Febrero,2022-02-13 00:00:00,2015-09-15 00:00:00,12:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,3 CON DETENIDO 3 C/D,Granjas Mexico,IZTAPALAPA,2015
2016,Junio,2016-06-17 00:00:00,2015-10-09 00:00:00,23:00:00,SECUESTRO EXPRESS (PARA COMETER ROBO O EXTORSIÓN),DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN BENITO JUÁREZ,BJ-1,UI-3SD,Napoles,BENITO JUAREZ,2015
2016,Julio,2016-07-13 00:00:00,2015-10-12 00:00:00,12:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAJIMALPA,CJ-1,UI-1SD,Jesus Del Monte,CUAJIMALPA DE MORELOS,2015
2016,Febrero,2016-02-11 00:00:00,2015-10-13 00:00:00,17:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-2CD,,CUAUHTEMOC,2015
2016,Marzo,2016-03-07 00:00:00,2015-11-05 00:00:00,15:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,"INVESTIGACIÓN PARA LA ATENCIÓN DE NIÑOS, NIÑAS Y ADOLESCENTES",59,UI-3CD,Pueblo San Gregorio Atlapulco,XOCHIMILCO,2015
2017,Mayo,2017-05-01 00:00:00,2015-11-24 00:00:00,11:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAJIMALPA,CJ-1,UI-1SD,Santa Fe Cuajimalpa,CUAJIMALPA DE MORELOS,2015
2023,Mayo,2023-05-26 00:00:00,2015-11-24 00:00:00,00:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE SECUESTRO,E,2 CON DETENIDO 2 C/D,Santa Fe Cuajimalpa,IZTAPALAPA,2015
2016,Marzo,2016-03-14 00:00:00,2015-11-27 00:00:00,12:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN DE LOS DELITOS COMETIDOS POR SERVIDORES PUBLICOS,B,UI-3CD,,CUAUHTEMOC,2015
2016,Enero,2016-01-08 00:00:00,2015-12-08 00:00:00,22:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN TLALPAN,TLP-3,UI-1CD,Pueblo San Pedro Martir,TLALPAN,2015
2021,Agosto,2021-08-11 00:00:00,2015-12-15 00:00:00,12:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN COYOACÁN,COY-4,UI-3SD,Pedregal De Santa Ursula,COYOACAN,2015
2016,Enero,2016-01-13 00:00:00,2015-12-19 00:00:00,15:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN GUSTAVO A. MADERO,GAM-8,UI-3SD,D M Nacional,GUSTAVO A. MADERO,2015
2016,Marzo,2016-03-07 00:00:00,2015-12-20 00:00:00,12:35:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN GUSTAVO A. MADERO,GAM-8,UI-3CD,Bondojito,GUSTAVO A. MADERO,2015
2016,Enero,2016-01-08 00:00:00,2015-12-24 00:00:00,12:04:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-1CD,,AZCAPOTZALCO,2015
2016,Enero,2016-01-03 00:00:00,2016-01-02 00:00:00,05:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN VENUSTIANO CARRANZA,VC-3,UI-1CD,Arenal Puerto Aereo,VENUSTIANO CARRANZA,2016
2016,Enero,2016-01-04 00:00:00,2016-01-03 00:00:00,00:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-3CD,Tabacalera,CUAUHTEMOC,2016
2016,Enero,2016-01-04 00:00:00,2016-01-03 00:00:00,01:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN DE LOS DELITOS COMETIDOS POR SERVIDORES PUBLICOS,B,UI-3CD,Lomas De Padierna,TLALPAN,2016
2016,Enero,2016-01-05 00:00:00,2016-01-04 00:00:00,17:50:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN ÁLVARO OBREGÓN,AO-4,UI-3CD,Ampliacion Alpes,ALVARO OBREGON,2016
2016,Enero,2016-01-05 00:00:00,2016-01-04 00:00:00,22:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN TLALPAN,TLP-4,UI-3CD,Villa Lazaro Cardenas,TLALPAN,2016
2016,Marzo,2016-03-06 00:00:00,2016-01-04 00:00:00,09:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-1CD,,CUAUHTEMOC,2016
2016,Enero,2016-01-23 00:00:00,2016-01-04 00:00:00,00:00:00,TRAFICO DE INFANTES,DELITO DE BAJO IMPACTO,"INVESTIGACIÓN PARA LA ATENCIÓN DE NIÑOS, NIÑAS Y ADOLESCENTES",B,B-3 SIN DETENIDO,Toriello Guerra,TLALPAN,2016
2016,Enero,2016-01-05 00:00:00,2016-01-05 00:00:00,10:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-1CD,Ixtlahuacan,IZTAPALAPA,2016
2016,Enero,2016-01-06 00:00:00,2016-01-06 00:00:00,02:20:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN GUSTAVO A. MADERO,GAM-1,UI-2CD,Zona Escolar Oriente,GUSTAVO A. MADERO,2016
2016,Enero,2016-01-06 00:00:00,2016-01-06 00:00:00,09:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-2CD,Granjas Navidad,CUAJIMALPA DE MORELOS,2016
2016,Enero,2016-01-06 00:00:00,2016-01-06 00:00:00,09:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-2CD,Ignacio Manuel Altamirano,MIGUEL HIDALGO,2016
2016,Enero,2016-01-08 00:00:00,2016-01-07 00:00:00,17:00:00,PLAGIO O SECUESTRO,SECUESTRO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-1CD,Santa Martha Acatitla Norte,IZTAPALAPA,2016
2016,Enero,2016-01-09 00:00:00,2016-01-07 00:00:00,12:10:00,PLAGIO O SECUESTRO,SECUESTRO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-2CD,El Manto,IZTAPALAPA,2016
2016,Enero,2016-01-27 00:00:00,2016-01-08 00:00:00,10:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-1CD,Obrera,CUAUHTEMOC,2016
2017,Enero,2017-01-09 00:00:00,2016-01-09 00:00:00,19:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN MAGDALENA CONTRERAS,MC-2,UI-2CD,Jardines Del Pedregal,LA MAGDALENA CONTRERAS,2016
2016,Enero,2016-01-10 00:00:00,2016-01-10 00:00:00,14:20:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-1,UI-3CD,Ex Hipodromo De Peralvillo,CUAUHTEMOC,2016
2016,Febrero,2016-02-11 00:00:00,2016-01-11 00:00:00,10:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN COYOACÁN,COY-1,UI-2CD,Barrio Oxtopulco Universidad,COYOACAN,2016
2016,Enero,2016-01-12 00:00:00,2016-01-11 00:00:00,21:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-2CD,El Pocito,ALVARO OBREGON,2016
2016,Enero,2016-01-12 00:00:00,2016-01-12 00:00:00,18:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-2CD,Santa Maria La Ribera,CUAUHTEMOC,2016
2016,Enero,2016-01-13 00:00:00,2016-01-12 00:00:00,17:45:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-3CD,Ampliacion Casas Aleman,GUSTAVO A. MADERO,2016
2016,Enero,2016-01-13 00:00:00,2016-01-12 00:00:00,21:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN MIGUEL HIDALGO,MH-4,UI-3CD,San Miguel Chapultepec I Seccion,MIGUEL HIDALGO,2016
2016,Enero,2016-01-14 00:00:00,2016-01-14 00:00:00,08:15:00,PLAGIO O SECUESTRO,SECUESTRO,INVESTIGACIÓN EN IZTAPALAPA,IZP-6,UI-1SD,Pueblo Sta Cruz Meyehualco,IZTAPALAPA,2016
2016,Enero,2016-01-14 00:00:00,2016-01-14 00:00:00,00:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-3CD,Industrial Puerto Aereo,VENUSTIANO CARRANZA,2016
2016,Enero,2016-01-17 00:00:00,2016-01-14 00:00:00,18:20:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-1CD,,MILPA ALTA,2016
2016,Enero,2016-01-14 00:00:00,2016-01-14 00:00:00,02:20:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN TLALPAN,TLP-4,UI-1CD,Los Girasoles,COYOACAN,2016
2016,Enero,2016-01-21 00:00:00,2016-01-14 00:00:00,14:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-2CD,San Simon Tolnahuac,CUAUHTEMOC,2016
2016,Febrero,2016-02-27 00:00:00,2016-01-14 00:00:00,10:30:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN GUSTAVO A. MADERO,GAM-4,UI-1CD,C T M El Risco,GUSTAVO A. MADERO,2016
2016,Enero,2016-01-17 00:00:00,2016-01-15 00:00:00,13:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-1CD,Del Lago,BENITO JUAREZ,2016
2016,Enero,2016-01-25 00:00:00,2016-01-16 00:00:00,11:00:00,PRIVACION DE LA LIBERTAD PERSONAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DEL DELITO DE SECUESTRO,FAS,UI-3CD,Vallejo Poniente,GUSTAVO A. MADERO,2016
