Año,Tipo_de_delito,Modalidad,Sexo,Rango_de_edad,Mes,Numero_registros
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,No especificado,Septiembre,39
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Septiembre,2
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Menores de edad (0-17),Octubre,59
2023,Secuestro,Secuestro exprés,Mujer,Adultos (18 y más),Octubre,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Adultos (18 y más),Octubre,20
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,No especificado,Octubre,18
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Menores de edad (0-17),Octubre,58
2023,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Octubre,1
2023,Secuestro,Secuestro exprés,Hombre,Adultos (18 y más),Octubre,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Adultos (18 y más),Octubre,23
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,No especificado,Octubre,23
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Octubre,6
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Menores de edad (0-17),Noviembre,33
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Adultos (18 y más),Noviembre,11
